Metabolites,FC,pvalue
LIPID-N-0421,0.794392349,0.011774299
LIPID-N-0432,0.991798797,0.921554486
LIPID-N-0433,0.850670828,0.197029185
LIPID-N-0435,0.797409245,0.197029185
LIPID-N-0438,0.929822996,0.428098309
LIPID-N-0440,0.836290364,0.113097866
LIPID-N-0442,0.982888017,0.739899955
LIPID-N-0446,1.010064858,0.578011127
LIPID-N-0447,0.771183347,0.03193561
LIPID-N-0449,0.984073621,0.764943038
LIPID-N-0453,0.912562328,0.419203002
LIPID-N-0455,0.944227332,0.610474769
LIPID-N-0469,1.028080309,0.700282384
LIPID-N-0471,0.914809853,0.393845788
LIPID-N-0475,1.2028274,0.448253299
LIPID-N-0478,1.056997865,0.598654975
LIPID-N-0479,0.999595846,0.534653513
LIPID-N-0480,0.964801536,0.603559559
LIPID-N-0482,0.925945201,0.500726107
LIPID-N-0490,1.080399657,0.759693913
LIPID-N-0491,1.095428369,0.33374938
LIPID-N-0493,1.013023162,0.83625191
LIPID-N-0494,1.032522047,0.991346835
LIPID-N-0495,0.960150135,0.543335407
LIPID-N-0496,0.935981338,0.637049585
LIPID-N-0502,0.873585411,0.213774941
LIPID-N-0508,0.944102697,0.480270698
LIPID-N-0509,1.011024864,0.985828694
LIPID-N-0514,0.848842396,0.165250761
LIPID-N-0521,0.836117746,0.196620537
LIPID-N-0522,1.087426119,0.676382128
